player,teams,arm_opportunities,arm_runs_unshrunk,pitcher_arm_opportunities,pitcher_arm_runs_unshrunk,non_pitcher_arm_opportunities,non_pitcher_arm_runs_unshrunk,arm_runs_opposing_raw,attributed_runner_runs,arm_runs,pitcher_arm_runs,non_pitcher_arm_runs,player_key
Montana Fouts,Talons,1,-0.14072186457508354,1,-0.14072186457508354,0,0.0,-0.14489541039216017,0.14489541039216017,-0.0034322405993922815,-0.0034322405993922815,0.0,montanafouts
Cori McMillan,Bandits,6,0.21079821821442563,0,0.0,6,0.21079821821442563,0.18575694331196596,-0.18575694331196596,0.027495419767098996,0.0,0.027495419767098996,corimcmillan
Devyn Netz,Bandits|Blaze,21,-1.1736746684828034,3,-0.12106612001181102,18,-1.0526085484709924,-1.2613191306414124,1.2613191306414124,-0.4040519350514569,-0.041678500331934945,-0.36237343471952194,devynnetz
Sharlize Palacios,Talons,29,0.4544802199102982,0,0.0,29,0.4544802199102982,0.33344739121507616,-0.33344739121507616,0.19101342575940067,0.0,0.19101342575940067,sharlizepalacios
Ali Aguilar,Talons,17,-0.4065360077256869,0,0.0,17,-0.4065360077256869,-0.47748628661598935,0.47748628661598935,-0.12124758125152064,0.0,-0.12124758125152064,aliaguilar
Sydney Romero,Talons,26,0.2349890332642468,0,0.0,26,0.2349890332642468,0.1264768420202548,-0.1264768420202548,0.09257143734652147,0.0,0.09257143734652147,sydneyromero
Taylor McQuillin,Bandits,3,-0.22639272621144138,3,-0.22639272621144138,0,0.0,-0.23891336366267124,0.23891336366267124,-0.015794841363588934,-0.015794841363588934,0.0,taylormcquillin
Erin Coffel,Bandits,37,-0.5250727177659821,0,0.0,37,-0.5250727177659821,-0.6794939129978171,0.6794939129978171,-0.25230766957586154,0.0,-0.25230766957586154,erincoffel
Bubba Nickles-Camarena,Bandits,36,-0.8570012656147552,0,0.0,36,-0.8570012656147552,-1.0072489150295139,1.0072489150295139,-0.40594796792277876,0.0,-0.40594796792277876,bubbanicklescamarena
Jessi Warren,Volts,20,0.03949482918123488,0,0.0,20,0.03949482918123488,-0.043976087160297356,0.043976087160297356,0.013164943060411627,0.0,0.013164943060411627,jessiwarren
Ali Newland,Blaze|Volts,4,-1.0441005831291879,0,0.0,4,-1.0441005831291879,-1.0607947663974944,1.0607947663974944,-0.09491823482992617,0.0,-0.09491823482992617,alinewland
Anissa Urtez,Blaze,31,-0.5910318633674948,0,0.0,31,-0.5910318633674948,-0.72041178369687,0.72041178369687,-0.25805616569566675,0.0,-0.25805616569566675,anissaurtez
Aliyah Andrews,Blaze,18,-0.6526198407807188,0,0.0,18,-0.6526198407807188,-0.727743665488098,0.727743665488098,-0.20253719196642997,0.0,-0.20253719196642997,aliyahandrews
Aubrey Leach,Blaze,26,0.8995137123554392,2,0.015979331125116077,24,0.8835343812303232,0.7910015211114472,-0.7910015211114472,0.354353886685476,0.006294888018985121,0.348058998666491,aubreyleach
Ana Gold,Blaze|Talons,17,-0.5612101335510944,0,0.0,17,-0.5612101335510944,-0.6321604124413969,0.6321604124413969,-0.16737846088365974,0.0,-0.16737846088365974,anagold
Amanda Lorenz,Blaze|Volts,22,-1.632000913414219,0,0.0,22,-1.632000913414219,-1.7238189213899047,1.7238189213899047,-0.5790970983082713,0.0,-0.5790970983082713,amandalorenz
Victoria Hayward,Blaze|Talons,21,0.4897833383893182,0,0.0,21,0.4897833383893182,0.4021388762307091,-0.4021388762307091,0.16861393616681447,0.0,0.16861393616681447,victoriahayward
Skylar Wallace,Bandits,23,0.4107513101233169,0,0.0,23,0.4107513101233169,0.3147597563305546,-0.3147597563305546,0.1499568275053379,0.0,0.1499568275053379,skylarwallace
Lauren Derkowski,Talons,1,0.007989665562558038,1,0.007989665562558038,0,0.0,0.0038161197454814224,-0.0038161197454814224,0.00019486989176970826,0.00019486989176970826,0.0,laurenderkowski
Jordan Roberts,Bandits,9,-0.13034235822490522,0,0.0,9,-0.13034235822490522,-0.16790427057859478,0.16790427057859478,-0.02394043314334994,0.0,-0.02394043314334994,jordanroberts
Raelin Chaffin,Talons,6,-0.537197768139667,6,-0.537197768139667,0,0.0,-0.5622390430421268,0.5622390430421268,-0.07006927410517395,-0.07006927410517395,0.0,raelinchaffin
Tiare Jennings,Volts,19,0.06922841869899252,0,0.0,19,0.06922841869899252,-0.010068951825463215,0.010068951825463215,0.022293897547133183,0.0,0.022293897547133183,tiarejennings
Rachel Garcia,Volts,12,-0.5847929556131857,3,-0.16994402038726852,9,-0.4148489352259172,-0.6348755054181052,0.6348755054181052,-0.13495222052611977,-0.03921785085860043,-0.09573436966751936,rachelgarcia
Sis Bates,Volts,19,0.7799363963450143,0,0.0,19,0.7799363963450143,0.7006390258205584,-0.7006390258205584,0.2511659581450046,0.0,0.2511659581450046,sisbates
Danielle Gibson Whorton,Bandits|Blaze,14,0.7371322206540349,0,0.0,14,0.7371322206540349,0.6787025792149624,-0.6787025792149624,0.19110835350289793,0.0,0.19110835350289793,daniellegibsonwhorton
Taylor Edwards,Blaze,21,-0.2688263523695698,0,0.0,21,-0.2688263523695698,-0.3564708145281788,0.3564708145281788,-0.09254677704526174,0.0,-0.09254677704526174,tayloredwards
Kayla Kowalik,Blaze,28,-3.0776510027229627,0,0.0,28,-3.0776510027229627,-3.194510285601108,3.194510285601108,-1.2672680599447492,0.0,-1.2672680599447492,kaylakowalik
Kalei Harding,Blaze,14,0.607346227171353,0,0.0,14,0.607346227171353,0.5489165857322804,-0.5489165857322804,0.15746013297035077,0.0,0.15746013297035077,kaleiharding
Ciara Briggs,Blaze|Volts,30,0.07103932662063042,0,0.0,30,0.07103932662063042,-0.05416704789166857,0.05416704789166857,0.030445425694555894,0.0,0.030445425694555894,ciarabriggs
Baylee Klingler,Blaze,25,-0.07997799608010925,0,0.0,25,-0.07997799608010925,-0.18431664150702473,0.18431664150702473,-0.030760767723118945,0.0,-0.030760767723118945,bayleeklingler
Michaela Edenfield,Volts,7,0.055434419118799594,0,0.0,7,0.055434419118799594,0.026219598399263216,-0.026219598399263216,0.008256190081523344,0.0,0.008256190081523344,michaelaedenfield
McKenzie Clark,Blaze|Volts,37,1.0934798301528523,0,0.0,37,1.0934798301528523,0.9390586349210184,-0.9390586349210184,0.5254383599435783,0.0,0.5254383599435783,mckenzieclark
Hannah Flippen,Talons,19,1.25490470655662,0,0.0,19,1.25490470655662,1.175607336032164,-1.175607336032164,0.4041218546538267,0.0,0.4041218546538267,hannahflippen
Sydney McKinney,Bandits|Talons|Volts,24,0.1377483658242204,0,0.0,24,0.1377483658242204,0.037583266214381406,-0.037583266214381406,0.05165563718408265,0.0,0.05165563718408265,sydneymckinney
Jadelyn Allchin,Talons,18,0.29927230474381267,1,0.08939471934519533,17,0.20987758539861728,0.22414848003643367,-0.22414848003643367,0.09287761181704532,0.027743188762301998,0.06513442305474329,jadelynallchin
Sam Landry,Volts,3,0.15441957486433308,3,0.15441957486433308,0,0.0,0.14189893741310322,-0.14189893741310322,0.010773458711465098,0.010773458711465098,0.0,samlandry
Bella Dayton,Bandits,28,3.0509350792091263,0,0.0,28,3.0509350792091263,2.9340757963309803,-2.9340757963309803,1.256267385556699,0.0,1.256267385556699,belladayton
Danieca Coffey,Volts,28,0.32920931161243583,0,0.0,28,0.32920931161243583,0.21235002873429062,-0.21235002873429062,0.13555677536982652,0.0,0.13555677536982652,daniecacoffey
Sierra Sacco-Ferrie,Blaze|Talons,37,0.8058420990114029,0,0.0,37,0.8058420990114029,0.651420903779568,-0.651420903779568,0.3872228267976871,0.0,0.3872228267976871,sierrasaccoferrie
Delanie Wisz,Bandits,30,0.26968886777636397,0,0.0,30,0.26968886777636397,0.14448249326406534,-0.14448249326406534,0.1155809433327274,0.0,0.1155809433327274,delaniewisz
Payton Gottshall,Volts,2,0.015979331125116077,2,0.015979331125116077,0,0.0,0.007632239490962845,-0.007632239490962845,0.0007609205297674322,0.0007609205297674322,0.0,paytongottshall
Morgan Zerkle,Bandits,43,0.44492421262139625,4,-0.11675286788740942,39,0.5616770805088057,0.2654617424871014,-0.2654617424871014,0.23050290533397638,-0.06048642553203139,0.29098933086600776,morganzerkle
Megan Faraimo,Talons,9,0.016682706682525215,9,0.016682706682525215,0,0.0,-0.020879205671164323,0.020879205671164323,0.0030641706151576928,0.0030641706151576928,0.0,meganfaraimo
Korbe Otis,Blaze,28,-0.2335589578192713,1,0.24640859289372505,27,-0.47996755071299635,-0.35041824069741667,0.35041824069741667,-0.09617133557264113,0.10146236177976914,-0.19763369735241026,korbeotis
Tori Vidales,Talons,20,0.5506186106478336,3,0.023968996687674115,17,0.5266496139601594,0.4671476943063011,-0.4671476943063011,0.18353953688261118,0.007989665562558038,0.17554987132005312,torividales
Mary Iakopo,Bandits|Volts,9,-0.7941764452276457,1,0.007989665562558038,8,-0.8021661107902038,-0.8317383575813354,0.8317383575813354,-0.14586914300099615,0.0014674895931229052,-0.14733663259411908,maryiakopo
Bri Ellis,Talons,15,0.49414765317778175,0,0.0,15,0.49414765317778175,0.43154446592163237,-0.43154446592163237,0.13476754177575864,0.0,0.13476754177575864,briellis
Sam Show,Volts,5,0.22147496093487437,0,0.0,5,0.22147496093487437,0.20060723184949134,-0.20060723184949134,0.024608328992763818,0.0,0.024608328992763818,samshow
Sierra Romero,Volts,18,-0.6338886272880824,0,0.0,18,-0.6338886272880824,-0.7090124519954615,0.7090124519954615,-0.1967240567445773,0.0,-0.1967240567445773,sierraromero
Mia Scott,Volts,7,0.4815226606775879,1,0.09132691624251965,6,0.3901957444350684,0.4523078399580516,-0.4523078399580516,0.07171614095198117,0.013601881142502926,0.058114259809478264,miascott
Dejah Mulipola,Volts,13,-0.6248786248529323,0,0.0,13,-0.6248786248529323,-0.6791347204749282,0.6791347204749282,-0.15327211552996453,0.0,-0.15327211552996453,dejahmulipola
Alana Vawter,Blaze,6,-0.17767636481822896,6,-0.17767636481822896,0,0.0,-0.20271763972068868,0.20271763972068868,-0.023175178019768993,-0.023175178019768993,0.0,alanavawter
Brooke Yanez,Blaze,3,0.023968996687674115,3,0.023968996687674115,0,0.0,0.011448359236444267,-0.011448359236444267,0.0016722555828609848,0.0016722555828609848,0.0,brookeyanez
Sahvanna Jaquish,Talons,8,0.3412170052176018,0,0.0,8,0.3412170052176018,0.3078286386809888,-0.3078286386809888,0.0568695008696003,0.0,0.0568695008696003,sahvannajaquish
Erika Piancastelli,Volts,4,-0.05609985042221774,0,0.0,4,-0.05609985042221774,-0.07279403369052423,0.07279403369052423,-0.005099986402019795,0.0,-0.005099986402019795,erikapiancastelli
Caroline Jacobsen,Talons,10,0.09769470778375439,0,0.0,10,0.09769470778375439,0.05595924961298812,-0.05595924961298812,0.01953894155675088,0.0,0.01953894155675088,carolinejacobsen
Emiley Kennedy,Bandits,7,-0.4137623549932472,7,-0.4137623549932472,0,0.0,-0.4429771757127835,0.4429771757127835,-0.06162418053090916,-0.06162418053090916,0.0,emileykennedy
Lexi Kilfoyl,Bandits,7,-0.07310301591884463,7,-0.07310301591884463,0,0.0,-0.10231783663838094,0.10231783663838094,-0.010887683221955583,-0.010887683221955583,0.0,lexikilfoyl
Aleshia Ocasio,Blaze,2,0.3220376663567326,1,0.2554304320757142,1,0.06660723428101839,0.31369057472257933,-0.31369057472257933,0.015335126969368217,0.012163353908367341,0.0031717730610008755,aleshiaocasio
Sarah Willis,Bandits,4,0.4288291426789417,3,0.42083947711638364,1,0.007989665562558038,0.41213495941063516,-0.41213495941063516,0.038984467516267426,0.038258134283307606,0.0007263332329598217,sarahwillis
Aliyah Binford,Blaze,9,-0.3656180778289675,4,-0.3076039205402568,5,-0.05801415728871076,-0.40317999018265716,0.40317999018265716,-0.06715434082572873,-0.056498679282904314,-0.010655661542824426,aliyahbinford
Keilani Ricketts,Blaze,5,0.3813270067146873,5,0.3813270067146873,0,0.0,0.36045927762930413,-0.36045927762930413,0.04236966741274303,0.04236966741274303,0.0,keilaniricketts
Georgina Corrick,Talons,6,-0.09965956619014454,6,-0.09965956619014454,0,0.0,-0.1247008410926042,0.1247008410926042,-0.012999073850888419,-0.012999073850888419,0.0,georginacorrick
