player,sb_cs_attempts,sb_cs_runs,advancement_opportunities,runner_advancement_opportunities,batter_advancement_opportunities,non_steal_advancement_runs,batter_advancement_runs,runner_advancement_runs,baserunning_runs,teams,coverage,player_key
Jordan Roberts,0,0.14641945470288414,22,17,5,0.8495768025854348,0.3968599669709719,0.45271683561446285,0.995996257288319,Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,jordanroberts
Skylar Wallace,0,0.43925836410865243,71,44,27,-0.5542130140010861,-1.0661063984235275,0.5118933844224414,-0.1149546498924337,Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,skylarwallace
Sierra Sacco-Ferrie,0,0.3111413412436288,58,39,19,-0.6654714975721916,-1.1480798641532908,0.4826083665810992,-0.3543301563285628,Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,sierrasaccoferrie
Bubba Nickles-Camarena,0,0.28368769348683803,37,23,14,0.9525812973274969,0.08111685997258979,0.8714644373549071,1.236268990814335,Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,bubbanicklescamarena
Delanie Wisz,0,0.36604863675721033,51,33,18,0.631918150044923,0.23937833698872663,0.3925398130561964,0.9979667868021334,Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,delaniewisz
Amanda Lorenz,2,-0.6906876052796148,66,46,20,-3.4801616319300064,-0.9073961677720186,-2.572765464157988,-4.170849237209621,Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,amandalorenz
Sierra Romero,0,0.2653852616489775,40,20,20,-3.176424764247113,-1.8475624209317965,-1.3288623433153166,-2.9110395025981357,Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,sierraromero
Anissa Urtez,0,0.14641945470288414,32,20,12,-0.8658600065524381,-0.4491959736618589,-0.4166640328905792,-0.7194405518495539,Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,anissaurtez
Danieca Coffey,2,-0.5797543205980855,42,24,18,-0.02686909267347034,0.14846098343462127,-0.17533007610809162,-0.6066234132715559,Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,daniecacoffey
Jadelyn Allchin,0,0.28368769348683803,46,30,16,-0.5341884525986909,-0.4024309381987263,-0.13175751439996458,-0.2505007591118528,Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,jadelynallchin
Ally Shipman-Shrout,0,0.054907295513581554,5,2,3,-0.04944155885544865,0.09731558449182214,-0.1467571433472708,0.005465736658132901,Blaze|Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,allyshipmanshrout
Ciara Briggs,4,-1.491791533017029,44,27,17,-1.278017616735274,-0.5854822883523473,-0.6925353283829266,-2.769809149752303,Blaze|Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,ciarabriggs
Ali Newland,1,-0.23082911065196723,21,14,7,0.6634619331157633,0.5750428466632266,0.08841908645253671,0.4326328224637961,Blaze|Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,alinewland
Aleshia Ocasio,0,0.018302431837860518,6,5,1,-0.2659103500490753,-0.29084381077663807,0.02493346072756275,-0.2476079182112148,Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,aleshiaocasio
Aliyah Andrews,0,0.19217553429753545,44,27,17,1.865983270040365,0.6654260135942796,1.2005572564460854,2.0581588043379004,Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,aliyahandrews
Mary Iakopo,0,0.06405851143251182,14,10,4,0.30903217873300537,0.29001741607141984,0.019014762661585527,0.3730906901655172,Bandits|Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,maryiakopo
Aliyah Binford,0,0.06405851143251182,12,7,5,-0.5153110110452644,-0.3613621647873149,-0.15394884625794952,-0.4512524996127526,Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,aliyahbinford
Sarah Willis,0,0.0,0,0,0,0,0,0,0.0,,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,sarahwillis
Tori Vidales,0,0.2928389094057683,50,31,19,1.13349890101078,0.7659168435908319,0.3675820574199482,1.4263378104165483,Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,torividales
Maya Brady,1,-0.35807642586504856,30,20,10,-0.31171439812507284,-0.5446081979113895,0.23289379978631664,-0.6697908239901214,Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,mayabrady
Michaela Edenfield,0,0.09151215918930258,14,9,5,-1.224894516475808,-0.6919707915781642,-0.5329237248976438,-1.1333823572865054,Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,michaelaedenfield
Cori McMillan,0,0.07320972735144207,15,8,7,0.6220462273681361,0.2850819576772535,0.3369642696908826,0.6952559547195781,Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,corimcmillan
Rachel Garcia,0,0.1372682387839539,25,18,7,-2.431240957500659,-1.0627730290955397,-1.3684679284051193,-2.293972718716705,Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,rachelgarcia
Sharlize Palacios,0,0.3111413412436288,52,35,17,-2.801495032158722,-2.0729922573385497,-0.7285027748201722,-2.490353690915093,Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,sharlizepalacios
Mia Scott,0,0.2013267502164657,37,26,11,0.39998134907949306,0.0636760942814172,0.3363052547980759,0.6013080992959587,Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,miascott
