PA,batting_runs_proxy,centered_candidate_runs_per_25_games,lower_half_PA_threshold,method,official_eligible,players,position,raw_scarcity_runs_per_100_pa,variant
537,-8.517700786080468,1.8698569336396331,,offensive_scarcity_proxy,False,21,C,1.586164019754277,all
563,-20.309577673756426,3.891077935866959,,offensive_scarcity_proxy,False,21,1B,3.607385021981603,all
510,-4.571213297981079,1.1800092468228227,,offensive_scarcity_proxy,False,19,2B,0.8963163329374665,all
526,21.485534708298477,-3.80100950214097,,offensive_scarcity_proxy,False,24,3B,-4.084702416026326,all
557,10.836302169935081,-1.6617832387062204,,offensive_scarcity_proxy,False,15,SS,-1.9454761525915767,all
557,19.078350305978795,-3.1415046275830094,,offensive_scarcity_proxy,False,21,LF,-3.4251975414683655,all
533,7.324608655386238,-1.0905300983822306,,offensive_scarcity_proxy,False,15,CF,-1.374223012267587,all
518,-13.124671855571448,2.81741334932386,,offensive_scarcity_proxy,False,30,RF,2.5337204354385037,all
244,-20.2202900249077,7.6610514770711635,,offensive_scarcity_proxy,False,10,C,8.28700410856873,season_2025
278,-9.325841832144146,2.7286667325830614,,offensive_scarcity_proxy,False,12,1B,3.354619364080628,season_2025
252,13.133940412647151,-5.837833747627388,,offensive_scarcity_proxy,False,7,2B,-5.211881116129821,season_2025
232,1.1090904660885075,-1.1040088668805441,,offensive_scarcity_proxy,False,11,3B,-0.47805623538297737,season_2025
256,0.5471327250498605,-0.8396763522201685,,offensive_scarcity_proxy,False,6,SS,-0.21372372072260176,season_2025
276,12.841075889904804,-5.2785163597239455,,offensive_scarcity_proxy,False,9,LF,-4.6525637282263785,season_2025
254,1.307496474505275,-1.1407150230350767,,offensive_scarcity_proxy,False,7,CF,-0.5147623915375099,season_2025
237,-12.093183004229378,4.476656231046474,,offensive_scarcity_proxy,False,13,RF,5.102608862544041,season_2025
293,11.70258923882724,-2.898009736075035,,offensive_scarcity_proxy,False,15,C,-3.994057760691891,season_2026
285,-10.983735841612248,4.949990425182556,,offensive_scarcity_proxy,False,16,1B,3.8539424005657006,season_2026
258,-17.705153710628228,7.9585107031549285,,offensive_scarcity_proxy,False,14,2B,6.862462678538073,season_2026
294,20.376444242209963,-5.834715323073608,,offensive_scarcity_proxy,False,15,3B,-6.930763347690464,season_2026
301,10.28916944488524,-2.322280694614121,,offensive_scarcity_proxy,False,12,SS,-3.418328719230977,season_2026
281,6.237274416074021,-1.1236225860856428,,offensive_scarcity_proxy,False,17,LF,-2.2196706107024986,season_2026
279,6.017112180880956,-1.0606230079569632,,offensive_scarcity_proxy,False,12,CF,-2.156671032573819,season_2026
281,-1.03148885134198,1.4631259076567062,,offensive_scarcity_proxy,False,22,RF,0.3670778830398505,season_2026
411,-11.444519069454318,3.202419794730453,,offensive_scarcity_proxy,False,18,C,2.7845545181154057,leave_team_out:Carolina Blaze
453,-18.614494306696884,4.527025167718112,,offensive_scarcity_proxy,False,20,1B,4.109159891103065,leave_team_out:Carolina Blaze
398,-9.786403389956229,2.8767606007246522,,offensive_scarcity_proxy,False,16,2B,2.458895324109605,leave_team_out:Carolina Blaze
418,20.43833969767162,-4.471689674981034,,offensive_scarcity_proxy,False,21,3B,-4.8895549515960814,leave_team_out:Carolina Blaze
454,13.35610201528942,-2.5240074139773356,,offensive_scarcity_proxy,False,11,SS,-2.941872690592383,leave_team_out:Carolina Blaze
