player_key,player,catcher_stolen_bases_allowed,catcher_caught_stealing,catcher_innings,catcher_steal_attempts,catcher_cs_rate,catcher_throwing_runs_unshrunk,catcher_throwing_runs
sahvannajaquish,Sahvanna Jaquish,0,4,46.0,4,1.0,1.7118085294543028,0.29243792567165444
dejahmulipola,Dejah Mulipola,4,2,38.2,6,0.3333333333333333,0.09510047385857232,0.03265101934203807
miadavidson,Mia Davidson,4,2,8.2,6,0.3333333333333333,0.09510047385857232,0.03265101934203807
delaniewisz,Delanie Wisz,16,8,76.0,24,0.3333333333333333,0.38040189543428926,0.2503109675397817
haleylee,Haley Lee,6,2,22.0,8,0.25,-0.2853014215757172,-0.06724168368690168
kaylakowalik,Kayla Kowalik,6,2,27.0,8,0.25,-0.2853014215757172,-0.06724168368690168
jordynruddlee,Jordyn Rudd-Lee,4,0,15.1,4,0.0,-0.7608037908685791,-0.11966412771549251
sharlizepalacios,Sharlize Palacios,2,0,51.1,2,0.0,-0.38040189543428954,-0.031013738446057655
kellytorres,Kelly Torres,4,0,19.1,4,0.0,-0.7608037908685791,-0.11966412771549251
michaelaedenfield,Michaela Edenfield,12,2,57.1,14,0.14285714285714285,-1.426507107878586,-0.5624075153789312
maryiakopo,Mary Iakopo,6,4,74.0,10,0.4,0.5706028431514342,0.20804220795698802
sydneystewart,Sydney Stewart,8,2,60.1,10,0.2,-0.6657033170100067,-0.20405984543015893
jocelynerickson,Jocelyn Erickson,5,2,30.1,7,0.2857142857142857,-0.09510047385857259,-0.012166796239887756
reeseatwood,Reese Atwood,4,4,68.1,8,0.5,0.9510047385857237,0.2859886477877957
sarahgordon,Sarah Gordon,0,2,25.2,2,1.0,0.8559042647271514,0.08137773065952789
