player,double_play_opportunities,actual_double_plays,expected_double_plays,double_play_avoidance_runs,player_key
Anissa Urtez,3,0,0.3045200830915117,0.36083213985325646,anissaurtez
Aliyah Binford,2,1,0.2696107415619611,-0.9115884740876127,aliyahbinford
Hannah Flippen,5,0,0.5729399520340287,0.6821212257908654,hannahflippen
Aliyah Andrews,1,0,0.08727272727272727,0.10270771810509327,aliyahandrews
Danielle Gibson Whorton,8,1,0.910455610978259,-0.1506661381172367,daniellegibsonwhorton
Ana Gold,3,0,0.27905982905982907,0.32940533866800503,anagold
Erin Coffel,2,0,0.19086317722681356,0.22555717658186525,erincoffel
Sydney McKinney,6,0,0.7221892393320966,0.8613295564836586,sydneymckinney
Bella Dayton,6,0,0.6323183369968292,0.7503976319036847,belladayton
Jessi Warren,7,1,0.7713986590609967,-0.3172935850047316,jessiwarren
Rachel Garcia,4,1,0.5274854065794833,-0.6033158343644192,rachelgarcia
Baylee Klingler,6,1,0.7499216512203525,-0.3387865206155276,bayleeklingler
Korbe Otis,6,2,1.0614437053461443,-1.1886075592624503,korbeotis
Taylor Edwards,3,0,0.34873784224433574,0.41541222079132933,tayloredwards
Kayla Kowalik,9,0,1.0668646708938125,1.271727350761542,kaylakowalik
Sharlize Palacios,6,1,0.8441541346767827,-0.22247088923602376,sharlizepalacios
Victoria Hayward,1,0,0.09641873278236913,0.11399706723857217,victoriahayward
Bri Ellis,3,2,0.4474754513778904,-1.9314062785214499,briellis
Ali Aguliar,4,2,0.4221892393320965,-1.967635406968793,aliaguilar
Danieca Coffey,4,0,0.3341809705446069,0.39242682689137454,daniecacoffey
McKenzie Clark,2,0,0.27222222222222225,0.3259825112431335,mckenzieclark
Amanda Lorenz,9,0,1.1284092819157754,1.3476947881721828,amandalorenz
Kelsey Stewart-Hunter,1,0,0.0839160839160839,0.09856445373358479,kelseystewarthunter
Tiare Jennings,6,1,0.6256857428286,-0.49213680487577804,tiarejennings
Jordan Roberts,4,0,0.39705809342172976,0.4700390469933816,jordanroberts
Morgan Zerkle,7,0,0.8562675191278295,1.021811591831459,morganzerkle
Delanie Wisz,5,1,0.6711656597370883,-0.4309816270997901,delaniewisz
Michaela Edenfield,3,2,0.3660294743443302,-2.0319389175276084,michaelaedenfield
Tori Vidales,7,1,0.7883789430574353,-0.2963340137231125,torividales
Jadelyn Allchin,5,0,0.5871951340814185,0.6997170742653308,jadelynallchin
Skylar Wallace,9,1,0.9902755313176599,-0.05715777369786279,skylarwallace
Ali Newland,2,0,0.22307692307692306,0.26532013358157996,alinewland
Aubrey Leach,3,0,0.2643145743145743,0.31120457017887854,aubreyleach
Sierra Romero,2,0,0.27158502989988575,0.32519599448623404,sierraromero
Caroline Jacobsen,6,1,0.6202382033550864,-0.49886096166423255,carolinejacobsen
Ciara Briggs,3,0,0.25947940947940945,0.30523629650087225,ciarabriggs
Cori McMillian,2,0,0.27222222222222225,0.3259825112431335,corimcmillan
Sis Bates,3,1,0.37666460523603384,-0.7844639595071256,sisbates
Devyn Netz,3,0,0.3250463821892393,0.38616872604798036,devynnetz
Mia Scott,2,0,0.27158502989988575,0.32519599448623404,miascott
Deja Mulipola,2,0,0.18872642509006143,0.22291968190092815,dejahmulipola
Sierra Sacco,4,0,0.4336278355790551,0.5151788171914332,sierrasaccoferrie
Mary Iakopo,2,1,0.2723091542603738,-0.9082576950905435,maryiakopo
Bubba Nickles-Camarena,2,0,0.3443970663482859,0.4150713504237538,bubbanicklescamarena
Ally Shipman-Shrout,1,0,0.09641873278236913,0.11399706723857217,allyshipmanshrout
Maya Brady,1,0,0.1261595547309833,0.15070757677637858,mayabrady
