player_key,display_names,teams,seasons
abyvieria,Aby Vieria,AUSL Blaze,2025
ailanaagbayani,Ailana Agbayani,Chicago Bandits,2026
alanavawter,Alana Vawter,AUSL Blaze|Oklahoma City Spark,2025|2026
aleshiaocasio,Aleshia Ocasio,AUSL Blaze|Carolina Blaze,2025|2026
aliaguliar,Ali Aguliar,AUSL Talons,2025
alinewland,Ali Newland,AUSL Blaze|AUSL Volts|Portland Cascade,2025|2026
aliyahandrews,Aliyah Andrews,AUSL Blaze|Utah Talons,2025|2026
aliyahbinford,Aliyah Binford,AUSL Blaze|Texas Volts,2025|2026
allycarda,Ally Carda,Texas Volts,2026
allyshipmanshrout,Ally Shipman-Shrout,AUSL Blaze|AUSL Talons,2025
alyssabrito,Alyssa Brito,Carolina Blaze,2026
alyssadenham,Alyssa Denham,Texas Volts,2026
amandalorenz,Amanda Lorenz,AUSL Volts,2025
amariharper,Amari Harper,Oklahoma City Spark,2026
amberfiser,Amber Fiser,Chicago Bandits,2026
aminahvega,Aminah Vega,Texas Volts,2026
anagold,Ana Gold,AUSL Blaze|Carolina Blaze,2025|2026
anissaurtez,Anissa Urtez,AUSL Blaze,2025
ashtonmaloney,Ashton Maloney,Portland Cascade,2026
aubreyleach,Aubrey Leach,AUSL Blaze|Carolina Blaze,2025|2026
bayleeklingler,Baylee Klingler,AUSL Blaze|Carolina Blaze,2025|2026
belladayton,Bella Dayton,AUSL Bandits|Chicago Bandits,2025|2026
billieandrews,Billie Andrews,Oklahoma City Spark,2026
bricopeland,Bri Copeland,Chicago Bandits,2026
briellis,Bri Ellis,AUSL Talons|Utah Talons,2025|2026
brookemccubbin,Brooke McCubbin,AUSL Blaze,2025
brookeyanez,Brooke Yanez,AUSL Blaze,2025
bubbanicklescamarena,Bubba Nickles-Camarena,AUSL Bandits|Oklahoma City Spark,2025|2026
carleyhoover,Carley Hoover,Portland Cascade,2026
carolinejacobsen,Caroline Jacobsen,AUSL Talons|Utah Talons,2025|2026
cassidycurd,Cassidy Curd,Oklahoma City Spark,2026
ciarabriggs,Ciara Briggs,AUSL Blaze|AUSL Volts,2025
corimcmillian,Cori McMillian,AUSL Bandits,2025
dakotakennedy,Dakota Kennedy,Carolina Blaze,2026
dallasescobedomagee,Dallas Escobedo Magee,Utah Talons,2026
daniecacoffey,Danieca Coffey,AUSL Volts|Texas Volts,2025|2026
daniellegibsonwhorton,Danielle Gibson Whorton|Danielle Gibson-Whorton,AUSL Bandits|AUSL Blaze,2025
dejahmulipola,Dejah Mulipola,Texas Volts,2026
dejamulipola,Deja Mulipola,AUSL Volts,2025
delaniewisz,Delanie Wisz,AUSL Bandits|Oklahoma City Spark,2025|2026
devynnetz,Devyn Netz,AUSL Bandits|AUSL Blaze|Carolina Blaze,2025|2026
elenaescobar,Elena Escobar,AUSL Talons,2025
elonbutler,Elon Butler,Chicago Bandits,2026
