player_key,player,teams,PA,woba_denom,obp_numerator,woba_raw_numerator,H,1B,2B,3B,HR,BB,IBB,HBP,SO,ROE,SF,SH,reach_opportunities,wOBA,OBP,batting_runs,baserunning_runs,sb_cs_runs,non_steal_advancement_runs,runner_advancement_runs,batter_advancement_runs,sb_cs_attempts,advancement_opportunities,double_play_avoidance_runs,double_play_opportunities,actual_double_plays,expected_double_plays,range_runs,fielding_opportunities,arm_runs,arm_runs_unshrunk,arm_opportunities,catcher_stolen_bases_allowed,catcher_caught_stealing,catcher_steal_attempts,catcher_cs_rate,catcher_throwing_runs,throwing_runs,positional_adjustment_runs,league_adjustment_runs,position_replacement_runs,hitting_runs,wRAA,batting_war,baserunning_component_runs,baserunning_war,defense_runs,defense_war,defensive_war,offensive_war,position_war
sierrasaccoferrie,Sierra Sacco-Ferrie,Portland Cascade,26,26,9,7.730623089392683,4,2,1,1,0,3,0,2,2,0,0,0,10,0.3138464274233167,0.34615384615384615,-1.0844440738360548,-0.002106960462753077,0.09124857800996938,-0.09335553847272246,-0.0226563306998743,-0.07069920777284816,0,13,0.0,0,0,0.0,0.029250833413347766,22,-0.1011857065202167,-0.3035571195606501,20,0,0,0,0.0,0.0,-0.1011857065202167,0.0,0.004667135079975043,1.044875705990523,-1.0844440738360548,-1.0844440738360548,-0.10593672642003933,-0.002106960462753077,-0.0002058238866398711,-0.07193487310686894,-0.007027144281794182,-0.007027144281794182,-0.0036152411506654835,-0.010642385432459668
korbeotis,Korbe Otis,Portland Cascade,53,52,19,18.36896957470877,14,10,1,1,2,3,0,2,7,3,0,1,23,0.37287003969836857,0.36538461538461536,0.7388352482512954,-0.9803598939243636,-0.6541890310200227,-0.3261708629043409,-0.05759037826660446,-0.2685804846377364,2,33,0.3188664872640029,2,0,0.35253251511265804,1.6913621762242566,45,-1.9440502961543074,-3.3579050569938036,55,0,0,0,0.0,0.0,-1.9440502961543074,0.0,0.009513775355333742,2.1299389391345276,0.7388352482512954,0.7388352482512954,0.07217503368948473,-0.6614934066603607,-0.06461969569546705,-0.2526881199300508,-0.024684493074809116,-0.024684493074809116,0.21655331435050723,0.1918688212756981
torividales,Tori Vidales,Portland Cascade,44,44,10,9.883337385452494,6,2,3,0,1,3,0,1,3,1,0,0,11,0.23709750416376055,0.22727272727272727,-5.034468583088447,1.6941962057829083,0.10037343581096633,1.593822769971942,1.0872355228326729,0.5065872471392691,0,16,-1.3665196879200252,4,2,0.5579866439034302,-0.5907052974650857,25,0.571835880080408,1.715507640241224,20,0,0,0,0.0,0.0,0.571835880080408,0.0,0.007898228596880842,1.7682511947531927,-5.034468583088447,-5.034468583088447,-0.4918050951860824,0.3276765178628831,0.032009928833231144,-0.018869417384677734,-0.0018433078804286412,-0.0018433078804286412,-0.2862874123965203,-0.2881307202769489
aubreyleach,Aubrey Leach,Carolina Blaze,57,56,18,16.433309851623918,12,9,1,1,1,6,0,0,4,3,0,1,23,0.30975124082328837,0.32142857142857145,-2.552988653791824,-0.7821228743639983,0.2098717294229296,-0.9919946037869279,-1.0113541897931624,0.019359586006234497,0,33,0.26298930217333794,2,0,0.29267344711963494,0.6755983212849119,34,0.08417955527741518,0.19279833628053156,31,0,0,0,0.0,0.0,0.08417955527741518,0.0,0.010231796136868363,2.290689047748454,-2.552988653791824,-2.552988653791824,-0.2493953050188332,-0.5191335721906604,-0.05071290676897909,0.7597778765623271,0.07422086854572993,0.07422086854572993,-0.07533680325347449,-0.0011159347077445807
anagold,Ana Gold,Carolina Blaze,48,48,17,15.156603976392805,7,3,2,1,1,6,0,4,11,0,0,0,18,0.3333010667074724,0.3541666666666667,-1.117366171106404,0.09496119105108919,0.1642474404179449,-0.0692862493668557,0.4889746101273994,-0.5582608594942551,0,28,0.1059885862137469,1,0,0.11901306240928883,1.012243428529219,40,0.11728402324427437,0.7037041394656463,8,0,0,0,0.0,0.0,0.11728402324427437,0.0,0.008616249378415465,1.9290013033671194,-1.117366171106404,-1.117366171106404,-0.10915280671025278,0.2009497772648361,0.019630299147626745,1.1295274517734935,0.11034081289151162,0.11034081289151162,0.09975867857155316,0.2100994914630648
jennalaird,Jenna Laird,Carolina Blaze,40,40,11,9.364610731937338,9,9,0,0,0,1,0,1,6,3,0,0,20,0.24711879398180042,0.275,-4.197031057645335,-0.6525056432279074,-0.3664169808018136,-0.28608866242609376,0.608385788015094,-0.8944744504411878,1,33,0.05045025867115829,7,1,1.092346526588146,0.7152439788522257,20,0.044133327484467015,0.39719994736020314,5,0,0,0,0.0,0.0,0.044133327484467015,0.0,0.00718020781534622,1.607501086139266,-4.197031057645335,-4.197031057645335,-0.40999784281858626,-0.6020553845567491,-0.0588133386518391,0.7593773063366926,0.07418173780636875,0.07418173780636875,-0.3110768596919427,-0.23689512188557396
devynnetz,Devyn Netz,Carolina Blaze,39,39,13,13.010550487113864,8,4,2,0,2,3,0,2,6,1,1,0,16,0.3521333051660621,0.3333333333333333,-0.21205025772924166,1.1889017527036103,0.14599772481595102,1.0429040278876593,-0.02855487421380354,1.0714589021014629,0,17,-0.3781779434512703,4,1,0.6167589422306403,-0.17547763256594875,12,-0.650575924687848,-2.277015736407468,15,0,0,0,0.0,0.0,-0.650575924687848,0.0,0.007000702619962565,1.5673135589857845,-0.21205025772924166,-0.21205025772924166,-0.02071467831522087,0.81072380925234,0.07919765385334326,-0.8260535572537967,-0.08069517996769038,-0.08069517996769038,0.21227393927214297,0.13157875930445262
sydneystewart,Sydney Stewart,Portland Cascade,43,43,18,15.183827166758984,8,7,0,0,1,8,0,2,10,1,0,0,20,0.37272526644464216,0.4186046511627907,0.6050622429576084,2.6065498363048487,0.18249715601993877,2.42405268028491,2.354985619304124,0.06906706098078569,0,27,-1.3964319386423822,3,2,0.5204712183462871,-0.09339625608298587,4,0.01812999939558304,0.38072998730724383,2,8,2,10,0.2,-0.20405984543015893,-0.18592984603457588,0.0,0.007718723401497187,1.728063667599711,0.6050622429576084,0.6050622429576084,0.059107071397935314,1.2101178976624665,0.11821349920534713,-0.27932610211756176,-0.027286693316817028,-0.027286693316817028,0.3468849665151513,0.3195982731983343
kennedypowell,Kennedy Powell,Portland Cascade,33,33,12,9.914449523053303,8,8,0,0,0,1,0,3,8,1,0,0,13,0.3171251633459442,0.36363636363636365,-1.2739049533524023,1.177874696740489,0.1186231514129602,1.0592515453275286,-0.2050967029086821,1.2643482482362107,0,25,0.18307409632250926,2,0,0.2070633768746976,-0.3658278602054502,20,-0.04597310022691027,-0.1992167676499445,12,0,0,0,0.0,0.0,-0.04597310022691027,0.0,0.005923671447660632,1.3261883960648946,-1.2739049533524023,-1.2739049533524023,-0.12444470285226393,1.3609487930629982,0.13294780564607864,-0.4118009604323605,-0.04022784276049959,-0.04022784276049959,0.13863391826106292,0.09840607550056332
kenleighcahalan,Kenleigh Cahalan,Portland Cascade,45,45,16,15.348093494785669,9,5,2,0,2,6,0,1,8,1,0,0,17,0.3600128149520068,0.35555555555555557,0.09124648150516115,1.1004120950958975,0.15512258261694797,0.9452895124789497,0.7933063964351419,0.15198311604380776,0,26,0.0,0,0,0.0,0.89208470156736,30,0.13042605187077477,0.5030719143587027,14,0,0,0,0.0,0.0,0.13042605187077477,0.0,0.008077733792264499,1.8084387219066744,0.09124648150516115,0.09124648150516115,0.008913648735992619,1.1004120950958975,0.10749660390979272,1.0225107534381348,0.09988660970348934,0.09988660970348934,0.29386136464657836,0.3937479743500677
