ambiguous_position_games,confirmed_defensive_innings,confirmed_defensive_outs,coverage_status,fielding_mentions,player,player_key,position,position_game_labels,season,team
1,0.0,0,position_label_only_no_defensive_innings,0,Aby Vieria,abyvieria,C,1,2025,AUSL Blaze
1,0.0,0,position_label_only_no_defensive_innings,2,Aleshia Ocasio,aleshiaocasio,2B,1,2025,AUSL Blaze
1,0.0,0,position_label_only_no_defensive_innings,0,Aleshia Ocasio,aleshiaocasio,RF,1,2025,AUSL Blaze
19,0.0,0,position_label_only_no_defensive_innings,44,Ali Aguliar,aliaguliar,2B,19,2025,AUSL Talons
4,0.0,0,position_label_only_no_defensive_innings,6,Ali Newland,alinewland,RF,4,2025,AUSL Volts
1,0.0,0,position_label_only_no_defensive_innings,0,Ali Newland,alinewland,RF,1,2025,AUSL Blaze
14,0.0,0,position_label_only_no_defensive_innings,58,Aliyah Andrews,aliyahandrews,CF,14,2025,AUSL Blaze
1,0.0,0,position_label_only_no_defensive_innings,1,Aliyah Binford,aliyahbinford,1B,1,2025,AUSL Blaze
1,0.0,0,position_label_only_no_defensive_innings,0,Ally Shipman-Shrout,allyshipmanshrout,C,1,2025,AUSL Talons
17,14.0,42,confirmed_clean_team_games_only,81,Amanda Lorenz,amandalorenz,LF,19,2025,AUSL Volts
14,0.0,0,position_label_only_no_defensive_innings,38,Ana Gold,anagold,3B,14,2025,AUSL Blaze
5,13.333333333333334,40,confirmed_clean_team_games_only,16,Ana Gold,anagold,SS,7,2025,AUSL Blaze
1,0.0,0,position_label_only_no_defensive_innings,0,Anissa Urtez,anissaurtez,RF,1,2025,AUSL Blaze
15,0.0,0,position_label_only_no_defensive_innings,43,Anissa Urtez,anissaurtez,SS,15,2025,AUSL Blaze
17,13.333333333333334,40,confirmed_clean_team_games_only,47,Aubrey Leach,aubreyleach,2B,19,2025,AUSL Blaze
1,0.0,0,position_label_only_no_defensive_innings,2,Aubrey Leach,aubreyleach,SS,1,2025,AUSL Blaze
