mean_position_relative_conversion_residual,opportunities,opportunities_a,opportunities_b,players,position,position_a,position_b,record_type,residual_difference_b_minus_a_per_100_opportunities
9.25185853854297e-18,60,,,17,C,,,fielding_opportunity_sample,
1.0002009230857266e-18,222,,,22,1B,,,fielding_opportunity_sample,
1.0424629339203347e-17,426,,,19,2B,,,fielding_opportunity_sample,
1.1102230246251566e-17,420,,,23,3B,,,fielding_opportunity_sample,
-9.555198162757495e-18,488,,,16,SS,,,fielding_opportunity_sample,
1.856560241848088e-17,598,,,21,LF,,,fielding_opportunity_sample,
2.2087183412437095e-17,568,,,17,CF,,,fielding_opportunity_sample,
-1.7989724936055777e-17,432,,,33,RF,,,fielding_opportunity_sample,
,,13,39,3,,C,1B,within_player_transition,-2.0526987632250795
,,5,38,2,,C,2B,within_player_transition,-13.888098624940726
,,12,48,3,,C,3B,within_player_transition,-6.318200805042911
,,0,0,0,,C,SS,within_player_transition,0.0
,,4,5,1,,C,LF,within_player_transition,-20.216049952892057
,,2,3,1,,C,CF,within_player_transition,63.63636363636363
,,2,9,1,,C,RF,within_player_transition,-12.740391609205437
,,14,70,3,,1B,2B,within_player_transition,1.8793666115094698
,,96,66,6,,1B,3B,within_player_transition,2.215517594778959
,,12,67,1,,1B,SS,within_player_transition,-2.481514614383128
,,9,1,1,,1B,LF,within_player_transition,72.91366041366042
,,0,0,0,,1B,CF,within_player_transition,0.0
,,37,61,6,,1B,RF,within_player_transition,3.7480678531249643
,,72,95,6,,2B,3B,within_player_transition,-7.472990129569077
,,181,160,7,,2B,SS,within_player_transition,-2.5442104972601265
,,23,24,3,,2B,LF,within_player_transition,-4.911238878630183
,,56,20,1,,2B,CF,within_player_transition,10.055349358575166
,,138,87,5,,2B,RF,within_player_transition,0.6929145639513526
,,123,160,5,,3B,SS,within_player_transition,0.343310866316031
,,49,21,2,,3B,LF,within_player_transition,4.872481811257321
,,0,0,0,,3B,CF,within_player_transition,0.0
,,36,60,5,,3B,RF,within_player_transition,10.932349530542773
,,1,3,1,,SS,LF,within_player_transition,-27.06529066045682
,,62,23,2,,SS,CF,within_player_transition,12.497764253602107
,,2,5,1,,SS,RF,within_player_transition,-31.163807822603207
,,193,320,9,,LF,CF,within_player_transition,-0.8791786027490311
,,403,127,11,,LF,RF,within_player_transition,3.593599901480039
,,393,127,10,,CF,RF,within_player_transition,-3.0995668228016457
