canonical_id,fielding_team,pitchers,target_outs,optimal_paths,ambiguous_blocks,changed_plate_appearances
ausl-2025-03c853891d304eb7,AUSL Blaze,"[""Emma Lemley"", ""Aliyah Binford"", ""Devyn Netz""]","[9, 3, 6]",1,0,4
ausl-2025-03c853891d304eb7,AUSL Talons,"[""Megan Faraimo"", ""Mariah Lopez"", ""Raelin Chaffin"", ""Georgina Corrick""]","[4, 1, 11, 5]",1,0,7
ausl-2025-0c0fbffe84135ce2,AUSL Bandits,"[""Sarah Willis"", ""Emiley Kennedy"", ""Taylor McQuillin""]","[0, 14, 7]",1,0,7
ausl-2025-0c0fbffe84135ce2,AUSL Blaze,"[""Aleshia Ocasio""]",[21],1,0,0
ausl-2025-0c5f4aa5f4e29034,AUSL Blaze,"[""Emma Lemley"", ""Keilani Ricketts""]","[15, 6]",1,0,0
ausl-2025-0c5f4aa5f4e29034,AUSL Volts,"[""Sam Landry"", ""Rachel Garcia""]","[13, 5]",1,0,6
ausl-2025-11017d17ccf3a918,AUSL Blaze,"[""Emma Lemley"", ""Brooke McCubbin"", ""Hope Trautwein-Valdespino"", ""Keilani Ricketts""]","[3, 8, 7, 3]",1,0,4
ausl-2025-11017d17ccf3a918,AUSL Talons,"[""Megan Faraimo"", ""Lauren Derkowski"", ""Mariah Lopez"", ""Raelin Chaffin"", ""Montana Fouts""]","[10, 3, 2, 3, 3]",8,13,16
ausl-2025-1560424f1dabc9bb,AUSL Bandits,"[""Devyn Netz"", ""Odicci Alexander"", ""Taylor McQuillin""]","[6, 12, 3]",1,0,8
ausl-2025-1560424f1dabc9bb,AUSL Talons,"[""Lauren Derkowski"", ""Raelin Chaffin"", ""Montana Fouts""]","[9, 9, 3]",1,0,3
ausl-2025-17b229c1b5b405cf,AUSL Blaze,"[""Keilani Ricketts"", ""Hope Trautwein-Valdespino"", ""Brooke McCubbin""]","[11, 9, 1]",1,0,0
ausl-2025-17b229c1b5b405cf,AUSL Volts,"[""Mariah Mazón"", ""Payton Gotshall""]","[9, 12]",1,0,3
ausl-2025-29e173a5d3875b10,AUSL Bandits,"[""Sarah Willis"", ""Emiley Kennedy"", ""Taylor McQuillin"", ""Lexi Kilfoyl""]","[6, 4, 8, 3]",1,0,10
ausl-2025-29e173a5d3875b10,AUSL Volts,"[""Mariah Mazón"", ""Sam Show"", ""Payton Gotshall""]","[3, 7, 11]",1,0,17
ausl-2025-2d89e837d661d280,AUSL Talons,"[""Raelin Chaffin"", ""Megan Faraimo""]","[9, 12]",1,0,2
ausl-2025-2d89e837d661d280,AUSL Volts,"[""Mariah Mazón"", ""Sam Show"", ""Sam Landry""]","[7, 4, 7]",1,0,4
ausl-2025-31be0813d7d85a82,AUSL Bandits,"[""Lexi Kilfoyl"", ""Odicci Alexander""]","[15, 5]",1,0,2
ausl-2025-31be0813d7d85a82,AUSL Talons,"[""Megan Faraimo"", ""Georgina Corrick""]","[18, 3]",1,0,2
ausl-2025-39aed3a0a15dcb51,AUSL Blaze,"[""Emma Lemley"", ""Aleshia Ocasio"", ""Alana Vawter""]","[9, 6, 3]",1,0,6
ausl-2025-39aed3a0a15dcb51,AUSL Volts,"[""Rachel Garcia"", ""Payton Gotshall""]","[12, 9]",1,0,3
ausl-2025-3b8fb90d2fbdf314,AUSL Bandits,"[""Sarah Willis"", ""Odicci Alexander"", ""Taylor McQuillin""]","[4, 6, 11]",1,0,8
ausl-2025-3b8fb90d2fbdf314,AUSL Blaze,"[""Aliyah Binford"", ""Aleshia Ocasio"", ""Emma Lemley"", ""Alana Vawter""]","[5, 4, 9, 3]",1,0,7
ausl-2025-3c027045ee1f0b27,AUSL Talons,"[""Megan Faraimo"", ""Georgina Corrick""]","[19, 5]",1,0,2
ausl-2025-3c027045ee1f0b27,AUSL Volts,"[""Sam Landry"", ""Mariah Mazón""]","[23, 1]",1,0,0
ausl-2025-3e0f6d9570698503,AUSL Bandits,"[""Lexi Kilfoyl"", ""Taylor McQuillin""]","[12, 9]",1,0,0
ausl-2025-3e0f6d9570698503,AUSL Talons,"[""Montana Fouts"", ""Mariah Lopez""]","[12, 6]",1,0,6
ausl-2025-40b2b02c0febd1f0,AUSL Bandits,"[""Lexi Kilfoyl"", ""Odicci Alexander""]","[18, 6]",1,0,4
ausl-2025-40b2b02c0febd1f0,AUSL Blaze,"[""Aleshia Ocasio"", ""Alana Vawter"", ""Aliyah Binford"", ""Emma Lemley""]","[3, 10, 6, 3]",3,2,10
ausl-2025-41e8a589154ad199,AUSL Bandits,"[""Lexi Kilfoyl"", ""Odicci Alexander"", ""Sarah Willis"", ""Emiley Kennedy""]","[6, 1, 8, 3]",1,0,7
ausl-2025-41e8a589154ad199,AUSL Talons,"[""Montana Fouts"", ""Raelin Chaffin""]","[9, 12]",1,0,0
ausl-2025-487b21d788da8a4f,AUSL Bandits,"[""Emiley Kennedy"", ""Devyn Netz""]","[10, 8]",1,0,0
ausl-2025-487b21d788da8a4f,AUSL Volts,"[""Rachel Garcia""]",[21],1,0,0
ausl-2025-4d8268ae9282de9e,AUSL Bandits,"[""Lexi Kilfoyl"", ""Odicci Alexander""]","[12, 15]",1,0,4
ausl-2025-4d8268ae9282de9e,AUSL Volts,"[""Sam Landry"", ""Rachel Garcia""]","[11, 15]",1,0,1
ausl-2025-50a59ac70736572d,AUSL Blaze,"[""Aliyah Binford"", ""Devyn Netz"", ""Keilani Ricketts""]","[9, 5, 7]",1,0,5
ausl-2025-50a59ac70736572d,AUSL Volts,"[""Sam Landry"", ""Payton Gotshall""]","[12, 9]",1,0,1
ausl-2025-5731f8f564a5deb5,AUSL Blaze,"[""Alana Vawter"", ""Keilani Ricketts"", ""Emma Lemley""]","[6, 9, 6]",1,0,2
ausl-2025-5731f8f564a5deb5,AUSL Volts,"[""Mariah Mazón"", ""Sam Show"", ""Payton Gotshall"", ""Sam Landry""]","[6, 6, 6, 3]",1,0,3
ausl-2025-5d0a04645769dc45,AUSL Blaze,"[""Keilani Ricketts"", ""Emma Lemley""]","[11, 10]",1,0,4
ausl-2025-5d0a04645769dc45,AUSL Talons,"[""Montana Fouts"", ""Megan Faraimo""]","[18, 3]",1,0,0
ausl-2025-5ef5cb37be8c4c36,AUSL Blaze,"[""Alana Vawter"", ""Emma Lemley""]","[10, 2]",1,0,0
ausl-2025-5ef5cb37be8c4c36,AUSL Talons,"[""Megan Faraimo""]",[15],1,0,0
ausl-2025-77a89e65051de7cd,AUSL Blaze,"[""Aleshia Ocasio"", ""Emma Lemley"", ""Keilani Ricketts""]","[10, 9, 2]",1,0,5
ausl-2025-77a89e65051de7cd,AUSL Talons,"[""Raelin Chaffin"", ""Megan Faraimo"", ""Mariah Lopez""]","[11, 7, 3]",1,0,5
ausl-2025-7ac9f8836b521485,AUSL Bandits,"[""Odicci Alexander"", ""Emiley Kennedy"", ""Lexi Kilfoyl""]","[7, 5, 9]",1,0,2
