pitcher_key,pitcher,teams,encounter,PA,games,AB,H,BB,HBP,SO,HR,AVG,OBP,SLG,OPS,K_pct,BB_pct,HR_pct,wOBA,wOBA_95_low,wOBA_95_high,RV_per_PA,RV_per_PA_95_low,RV_per_PA_95_high
alanavawter,Alana Vawter,"[""Blaze"", ""Spark""]",1,116,15,102,33,11,1,11,3,0.3235294117647059,0.3879310344827586,0.47058823529411764,0.8585192697768762,0.09482758620689655,0.09482758620689655,0.02586206896551724,0.382173043199527,0.2822027644104375,0.4821433219886165,0.01605839375688795,-0.07485113268837312,0.10696792020214901
alanavawter,Alana Vawter,"[""Blaze"", ""Spark""]",2,52,7,49,17,1,2,6,3,0.3469387755102041,0.38461538461538464,0.5714285714285714,0.956043956043956,0.11538461538461539,0.019230769230769232,0.057692307692307696,0.4141684227882606,0.3193108012819655,0.5090260442945558,0.07682620147106772,-0.03482523162878069,0.18847763457091615
alanavawter,Alana Vawter,"[""Blaze"", ""Spark""]",3+,10,4,8,6,2,0,0,0,0.75,0.8,0.875,1.675,0.0,0.2,0.0,0.7354917408008653,0.48399874255429803,0.9869847390474327,0.33876410501698095,0.10657229208711719,0.5709559179468447
aleshiaocasio,Aleshia Ocasio,"[""Blaze""]",1,122,14,108,37,11,3,13,3,0.3425925925925926,0.4180327868852459,0.5185185185185185,0.9365513054037644,0.10655737704918032,0.09016393442622951,0.02459016393442623,0.41502638203237563,0.339067249663104,0.4909855144016473,0.032021019012982196,-0.040136063293915086,0.10417810131987948
aleshiaocasio,Aleshia Ocasio,"[""Blaze""]",2,70,11,62,24,3,4,5,4,0.3870967741935484,0.44285714285714284,0.6774193548387096,1.1202764976958526,0.07142857142857142,0.04285714285714286,0.05714285714285714,0.4709789804009362,0.36413820114642903,0.5778197596554434,0.0969298967671915,-0.011700436342007098,0.2055602298763901
aleshiaocasio,Aleshia Ocasio,"[""Blaze""]",3+,34,5,33,13,0,0,2,6,0.3939393939393939,0.3939393939393939,1.0303030303030303,1.4242424242424243,0.058823529411764705,0.0,0.17647058823529413,0.5642478301487981,0.40381894401812707,0.7246767162794692,0.16889369471828083,0.01945168903720576,0.3183357003993559
aliyahbinford,Aliyah Binford,"[""Blaze"", ""Volts""]",1,143,18,127,28,11,3,20,2,0.2204724409448819,0.2978723404255319,0.30708661417322836,0.6049589545987603,0.13986013986013987,0.07692307692307693,0.013986013986013986,0.2787629313822902,0.2130396291185237,0.3444862336460567,-0.08211991641593634,-0.14962677588946738,-0.01461305694240532
aliyahbinford,Aliyah Binford,"[""Blaze"", ""Volts""]",2,38,12,37,10,1,0,5,2,0.2702702702702703,0.2894736842105263,0.4594594594594595,0.7489331436699858,0.13157894736842105,0.02631578947368421,0.05263157894736842,0.3230041054110826,0.1953487906336149,0.4506594201885503,-0.0009776906382498525,-0.10905249002187528,0.10709710874537556
aliyahbinford,Aliyah Binford,"[""Blaze"", ""Volts""]",3+,3,1,1,0,0,2,0,0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.5085330105883803,,,0.3917081482060009,,
allycarda,Ally Carda,"[""Volts""]",1,44,5,38,11,3,3,5,2,0.2894736842105263,0.38636363636363635,0.4473684210526316,0.8337320574162679,0.11363636363636363,0.06818181818181818,0.045454545454545456,0.3808012679258999,0.22264942920997557,0.5389531066418243,0.010889741703149252,-0.10705148886458632,0.12883097227088483
allycarda,Ally Carda,"[""Volts""]",2,29,5,25,8,2,2,2,1,0.32,0.41379310344827586,0.52,0.9337931034482758,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.4135671691039145,0.18894830066946114,0.6381860375383679,0.06863622888288315,-0.24168751433755578,0.3789599721033221
allycarda,Ally Carda,"[""Volts""]",3+,2,1,2,1,0,0,0,1,0.5,0.5,2.0,2.5,0.0,0.0,0.5,0.9595224114899187,,,0.558958988801917,,
alyssadenham,Alyssa Denham,"[""Volts""]",1,9,1,7,1,2,0,0,0,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.47619047619047616,0.0,0.2222222222222222,0.0,0.273530397784214,,,-0.2473728827670313,,
alyssadenham,Alyssa Denham,"[""Volts""]",2,9,1,8,1,1,0,1,1,0.125,0.2222222222222222,0.5,0.7222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.29861382940804954,,,-0.06233096299392327,,
alyssadenham,Alyssa Denham,"[""Volts""]",3+,6,1,5,2,1,0,2,0,0.4,0.5,0.4,0.9,0.3333333333333333,0.16666666666666666,0.0,0.43635137250633793,,,0.056640279341967525,,
amberfiser,Amber Fiser,"[""Bandits""]",1,63,8,51,8,6,3,12,3,0.1568627450980392,0.2786885245901639,0.39215686274509803,0.670845387335262,0.19047619047619047,0.09523809523809523,0.047619047619047616,0.29365068410538964,0.17905171236979595,0.4082496558409833,-0.04697336461763338,-0.15213932472221947,0.0581925954869527
amberfiser,Amber Fiser,"[""Bandits""]",2,45,6,40,11,1,2,5,1,0.275,0.3111111111111111,0.425,0.7361111111111112,0.1111111111111111,0.022222222222222223,0.022222222222222223,0.3131883520774895,0.15616733032664942,0.4702093738283296,-0.02250776701906622,-0.17523202657237152,0.13021649253423911
amberfiser,Amber Fiser,"[""Bandits""]",3+,28,4,25,7,2,1,3,1,0.28,0.35714285714285715,0.4,0.7571428571428571,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.3488460500815672,0.21101400183714816,0.4866780983259863,-0.019372376423237834,-0.15728459733512185,0.11853984448864618
bricopeland,Bri Copeland,"[""Bandits""]",1,28,4,26,12,1,0,1,3,0.46153846153846156,0.48148148148148145,0.9615384615384616,1.443019943019943,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.5833416483554086,0.2027885042396238,0.9638947924711934,0.17905277392258354,-0.15999199251858578,0.5180975403637529
bricopeland,Bri Copeland,"[""Bandits""]",2,8,2,5,3,2,1,1,1,0.6,0.75,1.8,2.55,0.125,0.25,0.125,0.8474517077461117,0.04490413039459851,1.6499992850976248,0.4247103836092123,-0.26281758923113174,1.1122383564495564
brookemccubbin,Brooke McCubbin,"[""Blaze""]",1,15,3,11,3,4,0,0,0,0.2727272727272727,0.4666666666666667,0.2727272727272727,0.7393939393939394,0.0,0.26666666666666666,0.0,0.38989076378590415,0.12388085153276152,0.6559006760390468,0.019931100806891606,-0.22409768987624942,0.2639598914900326
brookemccubbin,Brooke McCubbin,"[""Blaze""]",2,8,1,6,2,2,0,1,0,0.3333333333333333,0.5,0.3333333333333333,0.8333333333333333,0.125,0.25,0.0,0.4233234845913295,,,0.04177151022599432,,
brookemccubbin,Brooke McCubbin,"[""Blaze""]",3+,4,1,3,3,1,0,0,0,1.0,1.0,1.0,2.0,0.0,0.25,0.0,0.8857306329276843,,,0.47592356315976714,,
brookeyanez,Brooke Yanez,"[""Blaze""]",1,7,1,3,1,3,1,0,0,0.3333333333333333,0.7142857142857143,0.3333333333333333,1.0476190476190477,0.0,0.42857142857142855,0.0,0.5704361053761579,,,0.18456807707612616,,
carleyhoover,Carley Hoover,"[""Blaze"", ""Cascade""]",1,26,3,21,7,5,0,5,1,0.3333333333333333,0.46153846153846156,0.5238095238095238,0.9853479853479854,0.19230769230769232,0.19230769230769232,0.038461538461538464,0.44536158292562755,0.07837586917185446,0.8123472966794006,0.06286775078125478,-0.2724528066959213,0.3981883082584309
carleyhoover,Carley Hoover,"[""Blaze"", ""Cascade""]",2,14,2,14,5,0,0,3,0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.7142857142857143,0.21428571428571427,0.0,0.0,0.3302908202402534,-0.15061261402955556,0.8111942545100623,-0.03783838977513786,-0.4815720378176853,0.4058952582674096
cassidycurd,Cassidy Curd,"[""Spark""]",1,38,5,32,6,4,2,7,1,0.1875,0.3157894736842105,0.375,0.6907894736842105,0.18421052631578946,0.10526315789473684,0.02631578947368421,0.30986429697898177,0.19896096148338568,0.4207676324745778,-0.03602660196164802,-0.16605247053103478,0.09399926660773876
cassidycurd,Cassidy Curd,"[""Spark""]",2,3,1,3,2,0,0,0,1,0.6666666666666666,0.6666666666666666,2.0,2.6666666666666665,0.0,0.0,0.3333333333333333,1.037643821413242,,,0.6286379926971907,,
dallasescobedomagee,Dallas Escobedo Magee,"[""Talons""]",1,28,3,26,8,2,0,4,1,0.3076923076923077,0.35714285714285715,0.4230769230769231,0.7802197802197802,0.14285714285714285,0.07142857142857142,0.03571428571428571,0.33930461264375605,0.26346831221903727,0.41514091306847484,-0.016156853608512527,-0.08240249802735951,0.050088790810334446
dallasescobedomagee,Dallas Escobedo Magee,"[""Talons""]",2,13,3,13,5,0,0,1,0,0.38461538461538464,0.38461538461538464,0.46153846153846156,0.8461538461538463,0.07692307692307693,0.0,0.0,0.3763956790731328,0.046241533524918,0.7065498246213476,0.0078000253394829595,-0.2988752032340347,0.3144752539130007
dallasescobedomagee,Dallas Escobedo Magee,"[""Talons""]",3+,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.33738806019116935,,
devynnetz,Devyn Netz,"[""Bandits"", ""Blaze""]",1,101,12,91,23,6,3,11,5,0.25274725274725274,0.32,0.4725274725274725,0.7925274725274725,0.10891089108910891,0.0594059405940594,0.04950495049504951,0.34486519575747215,0.24242407088432247,0.4473063206306218,-0.02441726527769141,-0.10876689717459473,0.05993236661921192
devynnetz,Devyn Netz,"[""Bandits"", ""Blaze""]",2,14,7,14,4,0,0,1,0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.7142857142857142,0.07142857142857142,0.0,0.0,0.2901710158875718,-0.002505586680236316,0.5828476184553799,-0.014535186523086104,-0.27336699049336727,0.24429661744719505
elenaescobar,Elena Escobar,"[""Talons""]",1,8,1,7,2,1,0,0,0,0.2857142857142857,0.375,0.2857142857142857,0.6607142857142857,0.0,0.125,0.0,0.32726352937975345,,,-0.12731288625167358,,
emileykennedy,Emiley Kennedy,"[""Bandits""]",1,96,13,82,26,10,2,14,2,0.3170731707317073,0.4,0.45121951219512196,0.851219512195122,0.14583333333333334,0.10416666666666667,0.020833333333333332,0.385151473028756,0.2758718493028384,0.4944310967546736,0.014061527565269604,-0.08500616489162197,0.11312922002216116
emileykennedy,Emiley Kennedy,"[""Bandits""]",2,38,6,32,12,5,0,3,2,0.375,0.4473684210526316,0.625,1.0723684210526316,0.07894736842105263,0.13157894736842105,0.05263157894736842,0.45504652254960476,0.2791767716883101,0.6309162734108994,0.07306997025589025,-0.11992172873429281,0.26606166924607333
emileykennedy,Emiley Kennedy,"[""Bandits""]",3+,6,1,6,3,0,0,0,0,0.5,0.5,0.6666666666666666,1.1666666666666665,0.0,0.0,0.0,0.5072525391008846,,,0.13029441505694747,,
emmalemley,Emma Lemley,"[""Blaze""]",1,134,18,111,33,15,5,24,4,0.2972972972972973,0.4015151515151515,0.5045045045045045,0.906019656019656,0.1791044776119403,0.11194029850746269,0.029850746268656716,0.3944907400161671,0.3130491675931588,0.47593231243917533,0.028035681202202536,-0.03485621914155493,0.09092758154596
emmalemley,Emma Lemley,"[""Blaze""]",2,58,9,53,18,3,0,5,2,0.33962264150943394,0.3620689655172414,0.5849056603773585,0.9469746258945999,0.08620689655172414,0.05172413793103448,0.034482758620689655,0.39351834017088116,0.27349755324438735,0.513539127097375,0.012931852524838559,-0.09454815445787446,0.12041185950755157
emmalemley,Emma Lemley,"[""Blaze""]",3+,22,4,22,10,0,0,2,2,0.45454545454545453,0.45454545454545453,0.7272727272727273,1.1818181818181819,0.09090909090909091,0.0,0.09090909090909091,0.5107547281518796,0.4244096738897172,0.597099782414042,0.13066084830705374,0.049474398167633424,0.21184729844647404
georginacorrick,Georgina Corrick,"[""Talons""]",1,127,16,111,19,13,3,28,1,0.17117117117117117,0.2755905511811024,0.25225225225225223,0.5278428034333547,0.2204724409448819,0.10236220472440945,0.007874015748031496,0.25420285406948123,0.1861196314946331,0.3222860766443294,-0.11887227318788324,-0.18626726134097893,-0.051477285034787545
georginacorrick,Georgina Corrick,"[""Talons""]",2,83,10,73,20,6,3,11,1,0.273972602739726,0.35365853658536583,0.3287671232876712,0.682425659873037,0.13253012048192772,0.07228915662650602,0.012048192771084338,0.32510811222136415,0.20331428515903296,0.44690193928369537,-0.037679512198614026,-0.1439804216990112,0.06862139730178317
georginacorrick,Georgina Corrick,"[""Talons""]",3+,64,8,56,14,5,2,7,1,0.25,0.3333333333333333,0.3392857142857143,0.6726190476190477,0.109375,0.078125,0.015625,0.3150440096686921,0.17340217415701337,0.45668584518037086,-0.042456808473739234,-0.17641450616176976,0.09150088921429131
hopetrautweinvaldespino,Hope Trautwein-Valdespino,"[""Blaze""]",1,32,4,25,10,4,3,5,3,0.4,0.53125,0.8,1.33125,0.15625,0.125,0.09375,0.5581945001454314,0.39300112054274017,0.7233878797481226,0.17473404091882971,0.01866989257708304,0.33079818926057636
hopetrautweinvaldespino,Hope Trautwein-Valdespino,"[""Blaze""]",2,12,3,9,4,2,1,1,0,0.4444444444444444,0.5833333333333334,0.5555555555555556,1.1388888888888888,0.08333333333333333,0.16666666666666666,0.0,0.5223406942121503,0.19637453410175343,0.8483068543225473,0.1407991877063889,-0.15796168901409743,0.43956006442687523
hopetrautweinvaldespino,Hope Trautwein-Valdespino,"[""Blaze""]",3+,3,1,3,0,0,0,1,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,,,-0.3438415703245074,,
jailynford,Jailyn Ford,"[""Spark""]",1,39,5,32,6,3,3,11,2,0.1875,0.3076923076923077,0.40625,0.7139423076923077,0.28205128205128205,0.07692307692307693,0.05128205128205128,0.31795529871700584,0.15170835227755639,0.48420224515645527,-0.042659743198662864,-0.21072098622287222,0.1254014998255465
jailynford,Jailyn Ford,"[""Spark""]",2,14,3,12,2,2,0,3,0,0.16666666666666666,0.2857142857142857,0.25,0.5357142857142857,0.21428571428571427,0.14285714285714285,0.0,0.2611185872369868,0.038647677353269516,0.48358949712070404,-0.10152959738674976,-0.3089840614534884,0.10592486667998889
jalawright,Jala Wright,"[""Blaze""]",1,35,4,22,4,12,1,9,0,0.18181818181818182,0.4857142857142857,0.18181818181818182,0.6675324675324675,0.2571428571428571,0.34285714285714286,0.0,0.3909660686538488,0.2693342517665467,0.5125978855411509,0.015790893152036314,-0.09742178163950635,0.12900356794357898
jalawright,Jala Wright,"[""Blaze""]",2,7,3,7,3,0,0,2,0,0.42857142857142855,0.42857142857142855,0.7142857142857143,1.1428571428571428,0.2857142857142857,0.0,0.0,0.4732267970274981,-0.13605097002419358,1.0825045640791897,0.09597318049279423,-0.47055824181405814,0.6625046027996466
jessicamullins,Jessica Mullins,"[""Volts""]",1,50,7,42,10,7,1,13,3,0.23809523809523808,0.36,0.5,0.86,0.26,0.14,0.06,0.37822272485107333,0.19946398165504123,0.5569814680471055,0.040532133691363964,-0.12532144162790185,0.20638570901062978
jessicamullins,Jessica Mullins,"[""Volts""]",2,13,3,10,5,3,0,0,2,0.5,0.6153846153846154,1.2,1.8153846153846154,0.0,0.23076923076923078,0.15384615384615385,0.706695677357139,0.21134225533226203,1.202049099382016,0.31630609127253945,-0.14694944406941451,0.7795616266144934
karlynpickens,Karlyn Pickens,"[""Blaze""]",1,81,9,72,15,7,2,23,2,0.20833333333333334,0.2962962962962963,0.3194444444444444,0.6157407407407407,0.2839506172839506,0.08641975308641975,0.024691358024691357,0.28554035879078354,0.2264576827917425,0.3446230347898246,-0.05255425160196031,-0.11003004852627093,0.0049215453223503125
karlynpickens,Karlyn Pickens,"[""Blaze""]",2,54,8,47,9,5,1,5,3,0.19148936170212766,0.2830188679245283,0.44680851063829785,0.7298273785628262,0.09259259259259259,0.09259259259259259,0.05555555555555555,0.3121401387479949,0.20209781820888603,0.42218245928710374,-0.08657320004839747,-0.18922297430068918,0.01607657420389423
