bases_after,bases_before,batter,batting_team,canonical_id,display_row_index,event_order,event_type,fielding_team,half,inning,is_plate_appearance,official_action,outs_after,outs_before,pitch_text,pitcher,pitcher_key,play_text,runner_actions,runners_after,runners_before,runs_scored,season,source_game_id,source_kind,game_start,official_game_id,series_id,series_game_number,series_source,batter_key,same_game_matchup_number,pitcher_batters_faced_before,mlb_tto_bf9,series_matchup_number,prior_series_game_matchups,re24_run_value,run_value,PA_value,AB_value,H_value,TB_value,BB_value,HBP_value,SF_value,SO_value,HR_value,OBP_num_value,OBP_den_value,wOBA_num_value,wOBA_den_value
0,0,Victoria Hayward,Talons,official-ausl-2025-748,1,1,out,Bandits,top,1,True,53 BU,1,0,BK,Lexi Kilfoyl,lexikilfoyl,"Victoria Hayward grounded out to 3b, bunt (1-1 BK). Fielded by third baseman Delanie Wisz.",[],{},{},0,2025,official-748,official_ausl_play_by_play,2025-06-07T15:00:18-04:00,748,2025-rs-bandits-talons-the-stadium-at-parkway-bank-sports-complex-2025-06-07,1,official_teams_venue_date_cluster,victoriahayward,1,0,1,1,0,-0.3305585704502229,-0.3201078180576813,1,1,0,0,0,0,0,0,0,0,1,0.0,1
0,0,Sydney Romero,Talons,official-ausl-2025-748,2,2,out,Bandits,top,1,True,P4,2,1,X,Lexi Kilfoyl,lexikilfoyl,Sydney Romero popped up to 2b (0-0). Fielded by second baseman Erin Coffel.,[],{},{},0,2025,official-748,official_ausl_play_by_play,2025-06-07T15:00:18-04:00,748,2025-rs-bandits-talons-the-stadium-at-parkway-bank-sports-complex-2025-06-07,1,official_teams_venue_date_cluster,sydneyromero,1,1,1,1,0,-0.2036572722340094,-0.3201078180576813,1,1,0,0,0,0,0,0,0,0,1,0.0,1
0,0,Sharlize Palacios,Talons,official-ausl-2025-748,3,3,out,Bandits,top,1,True,L9,3,2,SBB,Lexi Kilfoyl,lexikilfoyl,Sharlize Palacios lined out to rf (2-1 SBB). Fielded by right fielder Cori McMillan.,[],{},{},0,2025,official-748,official_ausl_play_by_play,2025-06-07T15:00:18-04:00,748,2025-rs-bandits-talons-the-stadium-at-parkway-bank-sports-complex-2025-06-07,1,official_teams_venue_date_cluster,sharlizepalacios,1,2,1,1,0,-0.16232090181205225,-0.3201078180576813,1,1,0,0,0,0,0,0,0,0,1,0.0,1
2,0,Morgan Zerkle,Bandits,official-ausl-2025-748,4,4,double,Talons,bottom,1,True,2B LC,0,0,B,Montana Fouts,montanafouts,Morgan Zerkle doubled to left center (1-0 B).,[],"{""2"": ""Morgan Zerkle""}",{},0,2025,official-748,official_ausl_play_by_play,2025-06-07T15:00:18-04:00,748,2025-rs-bandits-talons-the-stadium-at-parkway-bank-sports-complex-2025-06-07,1,official_teams_venue_date_cluster,morganzerkle,1,0,1,1,0,0.5510568618418311,0.8586083573392636,1,1,1,2,0,0,0,0,0,1,1,1.2816602294570707,1
6,2,Skylar Wallace,Bandits,official-ausl-2025-748,5,5,out,Talons,bottom,1,True,13,1,0,BBK,Montana Fouts,montanafouts,Skylar Wallace grounded out to p (2-1 BBK); Morgan Zerkle advances to 3rd. Fielded by pitcher Montana Fouts.,"[{""action"": ""advance"", ""from_base"": null, ""runner"": ""Skylar Wallace"", ""to_base"": 3}]","{""2"": ""Morgan Zerkle"", ""3"": ""Skylar Wallace""}","{""2"": ""Morgan Zerkle""}",0,2025,official-748,official_ausl_play_by_play,2025-06-07T15:00:18-04:00,748,2025-rs-bandits-talons-the-stadium-at-parkway-bank-sports-complex-2025-06-07,1,official_teams_venue_date_cluster,skylarwallace,1,1,1,1,0,0.05822077978856588,-0.3201078180576813,1,1,0,0,0,0,0,0,0,0,1,0.0,1
6,6,Bubba Nickles-Camarena,Bandits,official-ausl-2025-748,6,6,strikeout,Talons,bottom,1,True,KS,2,1,KKBFS,Montana Fouts,montanafouts,B Nickles-Ca struck out swinging (1-2 KKBFS).,[],"{""2"": ""Morgan Zerkle"", ""3"": ""Skylar Wallace""}","{""2"": ""Morgan Zerkle"", ""3"": ""Skylar Wallace""}",0,2025,official-748,official_ausl_play_by_play,2025-06-07T15:00:18-04:00,748,2025-rs-bandits-talons-the-stadium-at-parkway-bank-sports-complex-2025-06-07,1,official_teams_venue_date_cluster,bubbanicklescamarena,1,2,1,1,0,-0.7199087738817836,-0.37024056792826465,1,1,0,0,0,0,0,1,0,0,1,0.0,1
6,6,Erin Coffel,Bandits,official-ausl-2025-748,7,7,out,Talons,bottom,1,True,FF2,3,2,BF,Montana Fouts,montanafouts,Erin Coffel fouled out to c (1-1 BF).,[],"{""2"": ""Morgan Zerkle"", ""3"": ""Skylar Wallace""}","{""2"": ""Morgan Zerkle"", ""3"": ""Skylar Wallace""}",0,2025,official-748,official_ausl_play_by_play,2025-06-07T15:00:18-04:00,748,2025-rs-bandits-talons-the-stadium-at-parkway-bank-sports-complex-2025-06-07,1,official_teams_venue_date_cluster,erincoffel,1,3,1,1,0,-0.5859056122448979,-0.3201078180576813,1,1,0,0,0,0,0,0,0,0,1,0.0,1
0,0,Ali Aguilar,Talons,official-ausl-2025-748,8,8,out,Bandits,top,2,True,43,1,0,X,Lexi Kilfoyl,lexikilfoyl,Ali Aguilar grounded out to 2b (0-0).,[],{},{},0,2025,official-748,official_ausl_play_by_play,2025-06-07T15:00:18-04:00,748,2025-rs-bandits-talons-the-stadium-at-parkway-bank-sports-complex-2025-06-07,1,official_teams_venue_date_cluster,aliaguilar,1,3,1,1,0,-0.3305585704502229,-0.3201078180576813,1,1,0,0,0,0,0,0,0,0,1,0.0,1
0,0,Hannah Flippen,Talons,official-ausl-2025-748,9,9,strikeout,Bandits,top,2,True,KL,2,1,BBBKSK,Lexi Kilfoyl,lexikilfoyl,Hannah Flippen struck out looking (3-2 BBBKSK).,[],{},{},0,2025,official-748,official_ausl_play_by_play,2025-06-07T15:00:18-04:00,748,2025-rs-bandits-talons-the-stadium-at-parkway-bank-sports-complex-2025-06-07,1,official_teams_venue_date_cluster,hannahflippen,1,4,1,1,0,-0.2036572722340094,-0.37024056792826465,1,1,0,0,0,0,0,1,0,0,1,0.0,1
1,0,Caroline Jacobsen,Talons,official-ausl-2025-748,10,10,single,Bandits,top,2,True,1B 9,2,2,BKK,Lexi Kilfoyl,lexikilfoyl,Caroline Jacobsen singled to right field (1-2 BKK). Fielded by right fielder Cori McMillan.,[],"{""1"": ""Caroline Jacobsen""}",{},0,2025,official-748,official_ausl_play_by_play,2025-06-07T15:00:18-04:00,748,2025-rs-bandits-talons-the-stadium-at-parkway-bank-sports-complex-2025-06-07,1,official_teams_venue_date_cluster,carolinejacobsen,1,5,1,1,0,0.16002036802921757,0.5325010623038215,1,1,1,1,0,0,0,0,0,1,1,0.9334540846358138,1
